epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,129.082,1.38643,1.60908,1.46897,1.46727,0.65019,0.56111,0.5404,0.37802,0.70277,0.57969,0.55547,0.39095,1.81623,2.50846,2.02876,1.77676,0.000863116,0.000863116,0.000863116
42,132.17,1.46446,1.86148,1.53512,1.49024,0.67351,0.53544,0.55926,0.41328,0.7182,0.57055,0.58786,0.39499,1.81026,2.54633,1.96203,1.78569,0.000848969,0.000848969,0.000848969
43,135.282,1.39635,1.8627,1.4778,1.44927,0.66195,0.54343,0.58469,0.41391,0.69372,0.57295,0.60775,0.38655,1.82141,2.56669,1.94541,1.82171,0.000834822,0.000834822,0.000834822
44,138.467,1.43862,1.86475,1.46708,1.52659,0.6741,0.56849,0.59814,0.4313,0.72591,0.60442,0.6319,0.40724,1.82933,2.52389,1.93874,1.82528,0.000820675,0.000820675,0.000820675
45,141.623,1.33203,1.73161,1.54252,1.4407,0.688,0.64038,0.63361,0.46591,0.68821,0.63999,0.62724,0.43374,1.81957,2.42087,1.9216,1.83042,0.000806528,0.000806528,0.000806528
46,144.754,1.33333,1.68954,1.43209,1.43398,0.6756,0.56208,0.60456,0.42924,0.68637,0.56528,0.59636,0.42451,1.83605,2.43427,2.01344,1.85647,0.00079238,0.00079238,0.00079238
47,147.892,1.34267,1.68567,1.41392,1.4271,0.60393,0.54516,0.5594,0.40536,0.62308,0.5486,0.55108,0.4122,1.80749,2.49263,2.0235,1.82687,0.000778233,0.000778233,0.000778233
48,151.007,1.32577,1.69083,1.40682,1.43065,0.57288,0.57446,0.55796,0.42097,0.57871,0.57767,0.54995,0.41703,1.78856,2.46177,1.99999,1.78757,0.000764086,0.000764086,0.000764086
49,154.1,1.32345,1.67448,1.43819,1.42275,0.54506,0.5948,0.56633,0.42395,0.55243,0.5948,0.55319,0.4139,1.759,2.4294,1.94999,1.74067,0.000749939,0.000749939,0.000749939
50,157.136,1.29004,1.66982,1.45775,1.38927,0.68397,0.62428,0.61801,0.4429,0.67573,0.60445,0.59901,0.42669,1.72981,2.46659,1.87624,1.73432,0.000735792,0.000735792,0.000735792
51,160.322,1.34589,1.63277,1.40088,1.41595,0.62669,0.66571,0.60713,0.43822,0.71458,0.61372,0.60372,0.42215,1.73623,2.45889,1.87485,1.72932,0.000721645,0.000721645,0.000721645
52,163.489,1.29206,1.66633,1.34732,1.37666,0.63797,0.61598,0.59428,0.4563,0.65161,0.63588,0.60014,0.412,1.74325,2.43193,1.87694,1.72097,0.000707498,0.000707498,0.000707498
53,166.511,1.29713,1.62388,1.34166,1.40329,0.67672,0.54535,0.58099,0.44673,0.69559,0.55778,0.59369,0.4056,1.74299,2.47046,1.87399,1.7092,0.000693351,0.000693351,0.000693351
54,169.572,1.2786,1.58354,1.36787,1.42788,0.66399,0.57157,0.57798,0.43454,0.68627,0.58956,0.58901,0.41465,1.76553,2.57239,1.9201,1.72728,0.000679204,0.000679204,0.000679204
55,172.629,1.29554,1.5085,1.30454,1.38833,0.70909,0.54993,0.5821,0.45153,0.76351,0.58586,0.6014,0.42581,1.74618,2.61319,1.96287,1.76121,0.000665057,0.000665057,0.000665057
56,175.657,1.22356,1.55269,1.2675,1.34502,0.63305,0.56916,0.55076,0.43674,0.73026,0.59743,0.59146,0.40346,1.80277,2.67621,2.07135,1.80792,0.000650909,0.000650909,0.000650909
57,178.783,1.24843,1.56247,1.28594,1.34788,0.65394,0.56422,0.55349,0.42728,0.70222,0.60223,0.59699,0.40508,1.80663,2.68873,2.11717,1.82879,0.000636762,0.000636762,0.000636762
58,181.862,1.25807,1.67713,1.3243,1.38327,0.64615,0.55019,0.56086,0.42615,0.69505,0.5889,0.59513,0.4165,1.8029,2.67224,2.16012,1.81255,0.000622615,0.000622615,0.000622615
59,184.856,1.2612,1.56061,1.28444,1.3632,0.66429,0.58786,0.57664,0.44214,0.69262,0.59552,0.61123,0.43384,1.77194,2.66865,2.11188,1.79299,0.000608468,0.000608468,0.000608468
60,187.914,1.27691,1.57707,1.30015,1.39603,0.60768,0.56275,0.59604,0.46865,0.64632,0.57557,0.60877,0.44281,1.7561,2.63659,2.02592,1.7713,0.000594321,0.000594321,0.000594321
61,191.024,1.26527,1.71129,1.25341,1.37022,0.61675,0.66279,0.62752,0.47059,0.63363,0.66279,0.62171,0.4516,1.71965,2.55812,1.87291,1.74563,0.000580174,0.000580174,0.000580174
62,194.06,1.27728,1.56728,1.39107,1.4515,0.66102,0.65958,0.63297,0.46264,0.67582,0.65035,0.62558,0.45214,1.72101,2.48695,1.79847,1.72671,0.000566027,0.000566027,0.000566027
63,197.116,1.2393,1.51063,1.25357,1.33709,0.66783,0.64997,0.62922,0.47575,0.6851,0.61871,0.61736,0.45344,1.74832,2.40623,1.77363,1.74037,0.00055188,0.00055188,0.00055188
64,200.249,1.18689,1.54066,1.21427,1.32774,0.77888,0.56493,0.61739,0.46521,0.79532,0.57116,0.61197,0.44731,1.77421,2.41753,1.80595,1.74782,0.000537733,0.000537733,0.000537733
65,203.273,1.19548,1.51102,1.23687,1.34025,0.75975,0.5938,0.61161,0.46861,0.77342,0.60021,0.6065,0.44258,1.78863,2.47603,1.82848,1.7582,0.000523586,0.000523586,0.000523586
66,206.471,1.26099,1.56371,1.24874,1.34365,0.68873,0.63394,0.60515,0.47896,0.70346,0.64356,0.60437,0.44527,1.79002,2.63558,1.85485,1.7387,0.000509438,0.000509438,0.000509438
67,209.668,1.18454,1.52907,1.19586,1.3281,0.69429,0.63715,0.61946,0.48091,0.71484,0.64035,0.61221,0.45755,1.77264,2.61721,1.86827,1.73598,0.000495291,0.000495291,0.000495291
68,212.894,1.182,1.50647,1.17531,1.31999,0.7107,0.63583,0.6254,0.48137,0.7722,0.6083,0.6172,0.45853,1.75992,2.59221,1.91549,1.72093,0.000481144,0.000481144,0.000481144
69,215.98,1.15366,1.41206,1.10342,1.28441,0.73166,0.63394,0.63235,0.49058,0.73862,0.6083,0.61778,0.45647,1.77854,2.56381,1.94538,1.72485,0.000466997,0.000466997,0.000466997
70,219.075,1.18851,1.40722,1.19235,1.35066,0.75203,0.61471,0.64091,0.52345,0.7605,0.60509,0.61917,0.46213,1.74834,2.54496,1.90188,1.70829,0.00045285,0.00045285,0.00045285
71,222.067,1.2213,1.47717,1.22341,1.36244,0.66078,0.63715,0.64501,0.53181,0.86045,0.55634,0.62173,0.47253,1.73364,2.50644,1.85901,1.71156,0.000438703,0.000438703,0.000438703
72,225.131,1.20191,1.45915,1.20659,1.35092,0.66711,0.65564,0.61533,0.50052,0.67198,0.64661,0.60053,0.46475,1.72218,2.49701,1.8204,1.71193,0.000424556,0.000424556,0.000424556
